recall,precision,F1Score
1,1,1
1,1,1
1,1,1
1,1,1
0.833333333333333,1,0.909090909090909
1,1,1
1,0.833333333333333,0.909090909090909
1,1,1
0.777777777777778,1,0.875
0.6,0.375,0.461538461538462
