fdist,sdist,h,p
ANN,DecisionTree,1,4.98987412443554e-07
ANN,Gaussian,0,0.0961600302393596
ANN,Polynomial,0,0.593887337776322
DecisionTree,Gaussian,1,5.59312131083673e-11
DecisionTree,Polynomial,1,4.38441581372362e-08
Gaussian,Polynomial,0,0.244616462101319
